Campaign,Campaign Type,Campaign Daily Budget,Networks,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
ThePOS | Card Machines,Search,20,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Small Business,2.50,card machine for small business,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Small Business,2.50,card machine small business,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Small Business,2.50,best card machine for small business,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Small Business,2.50,small business card machine,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Small Business,2.50,card machine for small business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Small Business,2.50,card machines for small business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Small Business,,,,Responsive search ad,"Card Machine, Small Biz",Small Business Card Machine,Best Card Machine for SMEs,Take Card Payments Fast,From 0.99% Per Sale,Compare UK Card Machines,Independent & UK-Focused,See Real Fees & Verdicts,"SumUp, Square, Dojo & More","Fees, Contracts & Payouts",Plain-English Comparisons,No Sales Waffle,"Honest, Not Sponsored",Compare & Choose With Ease,,"Compare UK card machines on fees, contracts and payouts. Plain English, no sales calls.","Independent comparison of SumUp, Square, Dojo and myPOS. Find your best fit in minutes.","See real fees and honest verdicts. We say who each provider is wrong for, not just right.","Providers can't pay for a better score. Compare and choose with confidence, free.",card-machines,compare,https://thepos.co.uk/compare-card-machines,Enabled
ThePOS | Card Machines,,,,Card Machine - Small Business,,,,Responsive search ad,"Card Machine, Small Biz",Small Business Card Machine,Best Card Machine for SMEs,Take Card Payments Fast,From 0.99% Per Sale,"No Sales Calls, No Waffle",We Don't Sell Card Machines,"Real Fee Notes, No Spin","Who to Pick, Who to Avoid",Built for UK Small Business,Cheapest Isn't Always Best,Know the Catch First,Straight Answers Only,Providers Can't Buy Rankings,,"We don't sell card machines, we help you choose one. Independent and plain English.","Know the fees, contracts and catches before you sign. Honest verdicts, no sales spin.",The cheapest reader isn't always cheapest once fees start nibbling. See the real cost.,"Who to pick and who to avoid, by business type and turnover. Get matched free.",card-machines,compare,https://thepos.co.uk/compare-card-machines,Enabled
ThePOS | Card Machines,,,,Card Machine - Small Business,,,,Responsive search ad,"Card Machine, Small Biz",Small Business Card Machine,Best Card Machine for SMEs,Take Card Payments Fast,From 0.99% Per Sale,Compare Fees in 60 Seconds,Get Matched Free,Free Fee Calculator,No Monthly Fee Options,Find Your Best-Fit Provider,Take the 60-Second Quiz,See What You'd Actually Pay,"Compare, Then Decide",Start Taking Cards Fast,,Work out what you'd actually pay with our free fee calculator. No monthly fee options too.,"Answer a few questions and get matched to your best-fit provider. Free, no sales calls.","Compare SumUp, Square, Dojo and myPOS in 60 seconds. Fees, contracts and payouts.",Start taking card payments fast. Compare UK providers and pick with confidence.,card-machines,compare,https://thepos.co.uk/compare-card-machines,Enabled
ThePOS | Card Machines,,,,Card Reader - Small Business,2.50,card reader for small business,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Reader - Small Business,2.50,card reader small business,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Reader - Small Business,2.50,best card reader for small business,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Reader - Small Business,2.50,card reader for small business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Reader - Small Business,,,,Responsive search ad,"Card Reader, Small Biz",Best Card Reader for SMEs,Card Readers From £19,Pay As You Go Readers,No Contract Card Readers,Compare UK Card Machines,Independent & UK-Focused,See Real Fees & Verdicts,"SumUp, Square, Dojo & More","Fees, Contracts & Payouts",Plain-English Comparisons,No Sales Waffle,"Honest, Not Sponsored",Compare & Choose With Ease,,"Compare UK card machines on fees, contracts and payouts. Plain English, no sales calls.","Independent comparison of SumUp, Square, Dojo and myPOS. Find your best fit in minutes.","See real fees and honest verdicts. We say who each provider is wrong for, not just right.","Providers can't pay for a better score. Compare and choose with confidence, free.",card-readers,compare,https://thepos.co.uk/compare-card-machines,Enabled
ThePOS | Card Machines,,,,Card Reader - Small Business,,,,Responsive search ad,"Card Reader, Small Biz",Best Card Reader for SMEs,Card Readers From £19,Pay As You Go Readers,No Contract Card Readers,"No Sales Calls, No Waffle",We Don't Sell Card Machines,"Real Fee Notes, No Spin","Who to Pick, Who to Avoid",Built for UK Small Business,Cheapest Isn't Always Best,Know the Catch First,Straight Answers Only,Providers Can't Buy Rankings,,"We don't sell card machines, we help you choose one. Independent and plain English.","Know the fees, contracts and catches before you sign. Honest verdicts, no sales spin.",The cheapest reader isn't always cheapest once fees start nibbling. See the real cost.,"Who to pick and who to avoid, by business type and turnover. Get matched free.",card-readers,compare,https://thepos.co.uk/compare-card-machines,Enabled
ThePOS | Card Machines,,,,Card Reader - Small Business,,,,Responsive search ad,"Card Reader, Small Biz",Best Card Reader for SMEs,Card Readers From £19,Pay As You Go Readers,No Contract Card Readers,Compare Fees in 60 Seconds,Get Matched Free,Free Fee Calculator,No Monthly Fee Options,Find Your Best-Fit Provider,Take the 60-Second Quiz,See What You'd Actually Pay,"Compare, Then Decide",Start Taking Cards Fast,,Work out what you'd actually pay with our free fee calculator. No monthly fee options too.,"Answer a few questions and get matched to your best-fit provider. Free, no sales calls.","Compare SumUp, Square, Dojo and myPOS in 60 seconds. Fees, contracts and payouts.",Start taking card payments fast. Compare UK providers and pick with confidence.,card-readers,compare,https://thepos.co.uk/compare-card-machines,Enabled
ThePOS | Card Machines,,,,Card Machine - Generic,2.50,card machine,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Generic,2.50,card machines,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Generic,2.50,best card machine uk,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Generic,2.50,card machine uk,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Generic,2.50,best card machine,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Generic,2.50,card machine uk,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,Card Machine - Generic,,,,Responsive search ad,Compare UK Card Machines,Best Card Machine 2026,Card Machines Compared,UK Card Machines Ranked,Fees & Verdicts Compared,Compare UK Card Machines,Independent & UK-Focused,See Real Fees & Verdicts,"SumUp, Square, Dojo & More","Fees, Contracts & Payouts",Plain-English Comparisons,No Sales Waffle,"Honest, Not Sponsored",Compare & Choose With Ease,,"Compare UK card machines on fees, contracts and payouts. Plain English, no sales calls.","Independent comparison of SumUp, Square, Dojo and myPOS. Find your best fit in minutes.","See real fees and honest verdicts. We say who each provider is wrong for, not just right.","Providers can't pay for a better score. Compare and choose with confidence, free.",card-machines,uk,https://thepos.co.uk/compare-card-machines,Enabled
ThePOS | Card Machines,,,,Card Machine - Generic,,,,Responsive search ad,Compare UK Card Machines,Best Card Machine 2026,Card Machines Compared,UK Card Machines Ranked,Fees & Verdicts Compared,"No Sales Calls, No Waffle",We Don't Sell Card Machines,"Real Fee Notes, No Spin","Who to Pick, Who to Avoid",Built for UK Small Business,Cheapest Isn't Always Best,Know the Catch First,Straight Answers Only,Providers Can't Buy Rankings,,"We don't sell card machines, we help you choose one. Independent and plain English.","Know the fees, contracts and catches before you sign. Honest verdicts, no sales spin.",The cheapest reader isn't always cheapest once fees start nibbling. See the real cost.,"Who to pick and who to avoid, by business type and turnover. Get matched free.",card-machines,uk,https://thepos.co.uk/compare-card-machines,Enabled
ThePOS | Card Machines,,,,Card Machine - Generic,,,,Responsive search ad,Compare UK Card Machines,Best Card Machine 2026,Card Machines Compared,UK Card Machines Ranked,Fees & Verdicts Compared,Compare Fees in 60 Seconds,Get Matched Free,Free Fee Calculator,No Monthly Fee Options,Find Your Best-Fit Provider,Take the 60-Second Quiz,See What You'd Actually Pay,"Compare, Then Decide",Start Taking Cards Fast,,Work out what you'd actually pay with our free fee calculator. No monthly fee options too.,"Answer a few questions and get matched to your best-fit provider. Free, no sales calls.","Compare SumUp, Square, Dojo and myPOS in 60 seconds. Fees, contracts and payouts.",Start taking card payments fast. Compare UK providers and pick with confidence.,card-machines,uk,https://thepos.co.uk/compare-card-machines,Enabled
ThePOS | Card Machines,,,,No Monthly Fee Readers,2.50,card reader no monthly fee,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,No Monthly Fee Readers,2.50,card machine no monthly fee,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,No Monthly Fee Readers,2.50,no monthly fee card machine,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,No Monthly Fee Readers,2.50,no monthly fee card reader,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,No Monthly Fee Readers,2.50,card reader no monthly fee,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | Card Machines,,,,No Monthly Fee Readers,,,,Responsive search ad,No Monthly Fee Readers,Pay Only Per Sale,"No Contract, No Rental",Card Readers From £19,Keep Costs to Sales Only,Compare UK Card Machines,Independent & UK-Focused,See Real Fees & Verdicts,"SumUp, Square, Dojo & More","Fees, Contracts & Payouts",Plain-English Comparisons,No Sales Waffle,"Honest, Not Sponsored",Compare & Choose With Ease,,"Compare UK card machines on fees, contracts and payouts. Plain English, no sales calls.","Independent comparison of SumUp, Square, Dojo and myPOS. Find your best fit in minutes.","See real fees and honest verdicts. We say who each provider is wrong for, not just right.","Providers can't pay for a better score. Compare and choose with confidence, free.",card-readers,no-monthly-fee,https://thepos.co.uk/card-readers-no-monthly-fee,Enabled
ThePOS | Card Machines,,,,No Monthly Fee Readers,,,,Responsive search ad,No Monthly Fee Readers,Pay Only Per Sale,"No Contract, No Rental",Card Readers From £19,Keep Costs to Sales Only,"No Sales Calls, No Waffle",We Don't Sell Card Machines,"Real Fee Notes, No Spin","Who to Pick, Who to Avoid",Built for UK Small Business,Cheapest Isn't Always Best,Know the Catch First,Straight Answers Only,Providers Can't Buy Rankings,,"We don't sell card machines, we help you choose one. Independent and plain English.","Know the fees, contracts and catches before you sign. Honest verdicts, no sales spin.",The cheapest reader isn't always cheapest once fees start nibbling. See the real cost.,"Who to pick and who to avoid, by business type and turnover. Get matched free.",card-readers,no-monthly-fee,https://thepos.co.uk/card-readers-no-monthly-fee,Enabled
ThePOS | Card Machines,,,,No Monthly Fee Readers,,,,Responsive search ad,No Monthly Fee Readers,Pay Only Per Sale,"No Contract, No Rental",Card Readers From £19,Keep Costs to Sales Only,Compare Fees in 60 Seconds,Get Matched Free,Free Fee Calculator,No Monthly Fee Options,Find Your Best-Fit Provider,Take the 60-Second Quiz,See What You'd Actually Pay,"Compare, Then Decide",Start Taking Cards Fast,,Work out what you'd actually pay with our free fee calculator. No monthly fee options too.,"Answer a few questions and get matched to your best-fit provider. Free, no sales calls.","Compare SumUp, Square, Dojo and myPOS in 60 seconds. Fees, contracts and payouts.",Start taking card payments fast. Compare UK providers and pick with confidence.,card-readers,no-monthly-fee,https://thepos.co.uk/card-readers-no-monthly-fee,Enabled
ThePOS | POS & EPOS Systems,Search,20,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,EPOS System,2.50,epos system,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,EPOS System,2.50,epos system for small business,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,EPOS System,2.50,epos till system,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,EPOS System,2.50,epos system uk,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,EPOS System,2.50,epos system for small business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,EPOS System,2.50,epos systems,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,EPOS System,,,,Responsive search ad,Compare EPOS Systems,EPOS for Small Business,EPOS Tills Compared,"Square, Lightspeed & More",Find Your Best EPOS,Compare UK Card Machines,Independent & UK-Focused,See Real Fees & Verdicts,"SumUp, Square, Dojo & More","Fees, Contracts & Payouts",Plain-English Comparisons,No Sales Waffle,"Honest, Not Sponsored",Compare & Choose With Ease,,"Compare UK card machines on fees, contracts and payouts. Plain English, no sales calls.","Independent comparison of SumUp, Square, Dojo and myPOS. Find your best fit in minutes.","See real fees and honest verdicts. We say who each provider is wrong for, not just right.","Providers can't pay for a better score. Compare and choose with confidence, free.",pos-systems,epos,https://thepos.co.uk/compare-pos-systems,Enabled
ThePOS | POS & EPOS Systems,,,,EPOS System,,,,Responsive search ad,Compare EPOS Systems,EPOS for Small Business,EPOS Tills Compared,"Square, Lightspeed & More",Find Your Best EPOS,"No Sales Calls, No Waffle",We Don't Sell Card Machines,"Real Fee Notes, No Spin","Who to Pick, Who to Avoid",Built for UK Small Business,Cheapest Isn't Always Best,Know the Catch First,Straight Answers Only,Providers Can't Buy Rankings,,"We don't sell card machines, we help you choose one. Independent and plain English.","Know the fees, contracts and catches before you sign. Honest verdicts, no sales spin.",The cheapest reader isn't always cheapest once fees start nibbling. See the real cost.,"Who to pick and who to avoid, by business type and turnover. Get matched free.",pos-systems,epos,https://thepos.co.uk/compare-pos-systems,Enabled
ThePOS | POS & EPOS Systems,,,,EPOS System,,,,Responsive search ad,Compare EPOS Systems,EPOS for Small Business,EPOS Tills Compared,"Square, Lightspeed & More",Find Your Best EPOS,Compare Fees in 60 Seconds,Get Matched Free,Free Fee Calculator,No Monthly Fee Options,Find Your Best-Fit Provider,Take the 60-Second Quiz,See What You'd Actually Pay,"Compare, Then Decide",Start Taking Cards Fast,,Work out what you'd actually pay with our free fee calculator. No monthly fee options too.,"Answer a few questions and get matched to your best-fit provider. Free, no sales calls.","Compare SumUp, Square, Dojo and myPOS in 60 seconds. Fees, contracts and payouts.",Start taking card payments fast. Compare UK providers and pick with confidence.,pos-systems,epos,https://thepos.co.uk/compare-pos-systems,Enabled
ThePOS | POS & EPOS Systems,,,,POS System - Small Business,2.50,pos system for small business,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,POS System - Small Business,2.50,pos system uk,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,POS System - Small Business,2.50,best pos system uk,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,POS System - Small Business,2.50,pos system small business,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,POS System - Small Business,2.50,pos system for small business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,POS System - Small Business,2.50,best pos system,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
