Campaign,Campaign Type,Campaign Daily Budget,Networks,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
ThePOS | POS & EPOS Systems,,,,POS System - Small Business,,,,Responsive search ad,Compare UK POS Systems,Best POS for Small Biz,POS Systems Compared,Till + Card in One,Independent POS Reviews,Compare UK Card Machines,Independent & UK-Focused,See Real Fees & Verdicts,"SumUp, Square, Dojo & More","Fees, Contracts & Payouts",Plain-English Comparisons,No Sales Waffle,"Honest, Not Sponsored",Compare & Choose With Ease,,"Compare UK card machines on fees, contracts and payouts. Plain English, no sales calls.","Independent comparison of SumUp, Square, Dojo and myPOS. Find your best fit in minutes.","See real fees and honest verdicts. We say who each provider is wrong for, not just right.","Providers can't pay for a better score. Compare and choose with confidence, free.",pos-systems,compare,https://thepos.co.uk/compare-pos-systems,Enabled
ThePOS | POS & EPOS Systems,,,,POS System - Small Business,,,,Responsive search ad,Compare UK POS Systems,Best POS for Small Biz,POS Systems Compared,Till + Card in One,Independent POS Reviews,"No Sales Calls, No Waffle",We Don't Sell Card Machines,"Real Fee Notes, No Spin","Who to Pick, Who to Avoid",Built for UK Small Business,Cheapest Isn't Always Best,Know the Catch First,Straight Answers Only,Providers Can't Buy Rankings,,"We don't sell card machines, we help you choose one. Independent and plain English.","Know the fees, contracts and catches before you sign. Honest verdicts, no sales spin.",The cheapest reader isn't always cheapest once fees start nibbling. See the real cost.,"Who to pick and who to avoid, by business type and turnover. Get matched free.",pos-systems,compare,https://thepos.co.uk/compare-pos-systems,Enabled
ThePOS | POS & EPOS Systems,,,,POS System - Small Business,,,,Responsive search ad,Compare UK POS Systems,Best POS for Small Biz,POS Systems Compared,Till + Card in One,Independent POS Reviews,Compare Fees in 60 Seconds,Get Matched Free,Free Fee Calculator,No Monthly Fee Options,Find Your Best-Fit Provider,Take the 60-Second Quiz,See What You'd Actually Pay,"Compare, Then Decide",Start Taking Cards Fast,,Work out what you'd actually pay with our free fee calculator. No monthly fee options too.,"Answer a few questions and get matched to your best-fit provider. Free, no sales calls.","Compare SumUp, Square, Dojo and myPOS in 60 seconds. Fees, contracts and payouts.",Start taking card payments fast. Compare UK providers and pick with confidence.,pos-systems,compare,https://thepos.co.uk/compare-pos-systems,Enabled
ThePOS | POS & EPOS Systems,,,,Till System,2.50,till system for small business,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,Till System,2.50,electronic till system,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,Till System,2.50,till system uk,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,Till System,2.50,till system for small business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | POS & EPOS Systems,,,,Till System,,,,Responsive search ad,Compare Till Systems,Till Systems for SMEs,Modern Till + Card Reader,EPOS Tills Compared,Find Your Best Till,Compare UK Card Machines,Independent & UK-Focused,See Real Fees & Verdicts,"SumUp, Square, Dojo & More","Fees, Contracts & Payouts",Plain-English Comparisons,No Sales Waffle,"Honest, Not Sponsored",Compare & Choose With Ease,,"Compare UK card machines on fees, contracts and payouts. Plain English, no sales calls.","Independent comparison of SumUp, Square, Dojo and myPOS. Find your best fit in minutes.","See real fees and honest verdicts. We say who each provider is wrong for, not just right.","Providers can't pay for a better score. Compare and choose with confidence, free.",till-systems,compare,https://thepos.co.uk/compare-pos-systems,Enabled
ThePOS | POS & EPOS Systems,,,,Till System,,,,Responsive search ad,Compare Till Systems,Till Systems for SMEs,Modern Till + Card Reader,EPOS Tills Compared,Find Your Best Till,"No Sales Calls, No Waffle",We Don't Sell Card Machines,"Real Fee Notes, No Spin","Who to Pick, Who to Avoid",Built for UK Small Business,Cheapest Isn't Always Best,Know the Catch First,Straight Answers Only,Providers Can't Buy Rankings,,"We don't sell card machines, we help you choose one. Independent and plain English.","Know the fees, contracts and catches before you sign. Honest verdicts, no sales spin.",The cheapest reader isn't always cheapest once fees start nibbling. See the real cost.,"Who to pick and who to avoid, by business type and turnover. Get matched free.",till-systems,compare,https://thepos.co.uk/compare-pos-systems,Enabled
ThePOS | POS & EPOS Systems,,,,Till System,,,,Responsive search ad,Compare Till Systems,Till Systems for SMEs,Modern Till + Card Reader,EPOS Tills Compared,Find Your Best Till,Compare Fees in 60 Seconds,Get Matched Free,Free Fee Calculator,No Monthly Fee Options,Find Your Best-Fit Provider,Take the 60-Second Quiz,See What You'd Actually Pay,"Compare, Then Decide",Start Taking Cards Fast,,Work out what you'd actually pay with our free fee calculator. No monthly fee options too.,"Answer a few questions and get matched to your best-fit provider. Free, no sales calls.","Compare SumUp, Square, Dojo and myPOS in 60 seconds. Fees, contracts and payouts.",Start taking card payments fast. Compare UK providers and pick with confidence.,till-systems,compare,https://thepos.co.uk/compare-pos-systems,Enabled
ThePOS | By Business Type,Search,20,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Cafe & Coffee Shop,2.50,card machine for cafe,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Cafe & Coffee Shop,2.50,best card machine for cafe,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Cafe & Coffee Shop,2.50,epos system for cafe,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Cafe & Coffee Shop,2.50,pos system for coffee shop,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Cafe & Coffee Shop,2.50,card machine for cafe,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Cafe & Coffee Shop,2.50,pos for cafe,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Cafe & Coffee Shop,,,,Responsive search ad,Card Machine for Cafes,Best POS for Coffee Shops,Cafe Card Machines,"Fast Taps, Tips & Payouts",Compare Cafe POS Free,Compare UK Card Machines,Independent & UK-Focused,See Real Fees & Verdicts,"SumUp, Square, Dojo & More","Fees, Contracts & Payouts",Plain-English Comparisons,No Sales Waffle,"Honest, Not Sponsored",Compare & Choose With Ease,,"Compare UK card machines on fees, contracts and payouts. Plain English, no sales calls.","Independent comparison of SumUp, Square, Dojo and myPOS. Find your best fit in minutes.","See real fees and honest verdicts. We say who each provider is wrong for, not just right.","Providers can't pay for a better score. Compare and choose with confidence, free.",cafes,pos,https://thepos.co.uk/pos-systems/cafes,Enabled
ThePOS | By Business Type,,,,Cafe & Coffee Shop,,,,Responsive search ad,Card Machine for Cafes,Best POS for Coffee Shops,Cafe Card Machines,"Fast Taps, Tips & Payouts",Compare Cafe POS Free,"No Sales Calls, No Waffle",We Don't Sell Card Machines,"Real Fee Notes, No Spin","Who to Pick, Who to Avoid",Built for UK Small Business,Cheapest Isn't Always Best,Know the Catch First,Straight Answers Only,Providers Can't Buy Rankings,,"We don't sell card machines, we help you choose one. Independent and plain English.","Know the fees, contracts and catches before you sign. Honest verdicts, no sales spin.",The cheapest reader isn't always cheapest once fees start nibbling. See the real cost.,"Who to pick and who to avoid, by business type and turnover. Get matched free.",cafes,pos,https://thepos.co.uk/pos-systems/cafes,Enabled
ThePOS | By Business Type,,,,Cafe & Coffee Shop,,,,Responsive search ad,Card Machine for Cafes,Best POS for Coffee Shops,Cafe Card Machines,"Fast Taps, Tips & Payouts",Compare Cafe POS Free,Compare Fees in 60 Seconds,Get Matched Free,Free Fee Calculator,No Monthly Fee Options,Find Your Best-Fit Provider,Take the 60-Second Quiz,See What You'd Actually Pay,"Compare, Then Decide",Start Taking Cards Fast,,Work out what you'd actually pay with our free fee calculator. No monthly fee options too.,"Answer a few questions and get matched to your best-fit provider. Free, no sales calls.","Compare SumUp, Square, Dojo and myPOS in 60 seconds. Fees, contracts and payouts.",Start taking card payments fast. Compare UK providers and pick with confidence.,cafes,pos,https://thepos.co.uk/pos-systems/cafes,Enabled
ThePOS | By Business Type,,,,Restaurant & Takeaway,2.50,card machine for restaurant,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Restaurant & Takeaway,2.50,epos system for restaurant,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Restaurant & Takeaway,2.50,card machine for takeaway,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Restaurant & Takeaway,2.50,epos for takeaway,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Restaurant & Takeaway,2.50,card machine for restaurant,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Restaurant & Takeaway,2.50,epos system for takeaway,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Restaurant & Takeaway,,,,Responsive search ad,Restaurant Card Machines,Best EPOS for Restaurants,Takeaway Card Machines,"Fast Payouts, Hospitality",Compare Restaurant POS,Compare UK Card Machines,Independent & UK-Focused,See Real Fees & Verdicts,"SumUp, Square, Dojo & More","Fees, Contracts & Payouts",Plain-English Comparisons,No Sales Waffle,"Honest, Not Sponsored",Compare & Choose With Ease,,"Compare UK card machines on fees, contracts and payouts. Plain English, no sales calls.","Independent comparison of SumUp, Square, Dojo and myPOS. Find your best fit in minutes.","See real fees and honest verdicts. We say who each provider is wrong for, not just right.","Providers can't pay for a better score. Compare and choose with confidence, free.",restaurants,pos,https://thepos.co.uk/pos-systems/restaurants,Enabled
ThePOS | By Business Type,,,,Restaurant & Takeaway,,,,Responsive search ad,Restaurant Card Machines,Best EPOS for Restaurants,Takeaway Card Machines,"Fast Payouts, Hospitality",Compare Restaurant POS,"No Sales Calls, No Waffle",We Don't Sell Card Machines,"Real Fee Notes, No Spin","Who to Pick, Who to Avoid",Built for UK Small Business,Cheapest Isn't Always Best,Know the Catch First,Straight Answers Only,Providers Can't Buy Rankings,,"We don't sell card machines, we help you choose one. Independent and plain English.","Know the fees, contracts and catches before you sign. Honest verdicts, no sales spin.",The cheapest reader isn't always cheapest once fees start nibbling. See the real cost.,"Who to pick and who to avoid, by business type and turnover. Get matched free.",restaurants,pos,https://thepos.co.uk/pos-systems/restaurants,Enabled
ThePOS | By Business Type,,,,Restaurant & Takeaway,,,,Responsive search ad,Restaurant Card Machines,Best EPOS for Restaurants,Takeaway Card Machines,"Fast Payouts, Hospitality",Compare Restaurant POS,Compare Fees in 60 Seconds,Get Matched Free,Free Fee Calculator,No Monthly Fee Options,Find Your Best-Fit Provider,Take the 60-Second Quiz,See What You'd Actually Pay,"Compare, Then Decide",Start Taking Cards Fast,,Work out what you'd actually pay with our free fee calculator. No monthly fee options too.,"Answer a few questions and get matched to your best-fit provider. Free, no sales calls.","Compare SumUp, Square, Dojo and myPOS in 60 seconds. Fees, contracts and payouts.",Start taking card payments fast. Compare UK providers and pick with confidence.,restaurants,pos,https://thepos.co.uk/pos-systems/restaurants,Enabled
ThePOS | By Business Type,,,,Market Trader & Mobile,2.50,card machine for market stall,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Market Trader & Mobile,2.50,card reader for market traders,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Market Trader & Mobile,2.50,mobile card machine,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Market Trader & Mobile,2.50,card machine for market trader,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Market Trader & Mobile,2.50,mobile card machine,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Market Trader & Mobile,2.50,card reader for market,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Market Trader & Mobile,,,,Responsive search ad,Market Trader Card Reader,Mobile Card Machines,Works on Mobile Data,No Monthly Fee for Stalls,Compare Trader Readers,Compare UK Card Machines,Independent & UK-Focused,See Real Fees & Verdicts,"SumUp, Square, Dojo & More","Fees, Contracts & Payouts",Plain-English Comparisons,No Sales Waffle,"Honest, Not Sponsored",Compare & Choose With Ease,,"Compare UK card machines on fees, contracts and payouts. Plain English, no sales calls.","Independent comparison of SumUp, Square, Dojo and myPOS. Find your best fit in minutes.","See real fees and honest verdicts. We say who each provider is wrong for, not just right.","Providers can't pay for a better score. Compare and choose with confidence, free.",market-traders,readers,https://thepos.co.uk/pos-systems/market-stalls,Enabled
ThePOS | By Business Type,,,,Market Trader & Mobile,,,,Responsive search ad,Market Trader Card Reader,Mobile Card Machines,Works on Mobile Data,No Monthly Fee for Stalls,Compare Trader Readers,"No Sales Calls, No Waffle",We Don't Sell Card Machines,"Real Fee Notes, No Spin","Who to Pick, Who to Avoid",Built for UK Small Business,Cheapest Isn't Always Best,Know the Catch First,Straight Answers Only,Providers Can't Buy Rankings,,"We don't sell card machines, we help you choose one. Independent and plain English.","Know the fees, contracts and catches before you sign. Honest verdicts, no sales spin.",The cheapest reader isn't always cheapest once fees start nibbling. See the real cost.,"Who to pick and who to avoid, by business type and turnover. Get matched free.",market-traders,readers,https://thepos.co.uk/pos-systems/market-stalls,Enabled
ThePOS | By Business Type,,,,Market Trader & Mobile,,,,Responsive search ad,Market Trader Card Reader,Mobile Card Machines,Works on Mobile Data,No Monthly Fee for Stalls,Compare Trader Readers,Compare Fees in 60 Seconds,Get Matched Free,Free Fee Calculator,No Monthly Fee Options,Find Your Best-Fit Provider,Take the 60-Second Quiz,See What You'd Actually Pay,"Compare, Then Decide",Start Taking Cards Fast,,Work out what you'd actually pay with our free fee calculator. No monthly fee options too.,"Answer a few questions and get matched to your best-fit provider. Free, no sales calls.","Compare SumUp, Square, Dojo and myPOS in 60 seconds. Fees, contracts and payouts.",Start taking card payments fast. Compare UK providers and pick with confidence.,market-traders,readers,https://thepos.co.uk/pos-systems/market-stalls,Enabled
ThePOS | By Business Type,,,,Salon & Barber,2.50,card machine for salon,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Salon & Barber,2.50,card machine for barbers,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Salon & Barber,2.50,epos system for salon,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Salon & Barber,2.50,card machine for salon,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
ThePOS | By Business Type,,,,Salon & Barber,,,,Responsive search ad,Card Machine for Salons,Best POS for Barbers,Salon Card Machines,"Card at the Chair, Sorted",Compare Salon POS,Compare UK Card Machines,Independent & UK-Focused,See Real Fees & Verdicts,"SumUp, Square, Dojo & More","Fees, Contracts & Payouts",Plain-English Comparisons,No Sales Waffle,"Honest, Not Sponsored",Compare & Choose With Ease,,"Compare UK card machines on fees, contracts and payouts. Plain English, no sales calls.","Independent comparison of SumUp, Square, Dojo and myPOS. Find your best fit in minutes.","See real fees and honest verdicts. We say who each provider is wrong for, not just right.","Providers can't pay for a better score. Compare and choose with confidence, free.",salons,pos,https://thepos.co.uk/pos-systems/salons,Enabled
ThePOS | By Business Type,,,,Salon & Barber,,,,Responsive search ad,Card Machine for Salons,Best POS for Barbers,Salon Card Machines,"Card at the Chair, Sorted",Compare Salon POS,"No Sales Calls, No Waffle",We Don't Sell Card Machines,"Real Fee Notes, No Spin","Who to Pick, Who to Avoid",Built for UK Small Business,Cheapest Isn't Always Best,Know the Catch First,Straight Answers Only,Providers Can't Buy Rankings,,"We don't sell card machines, we help you choose one. Independent and plain English.","Know the fees, contracts and catches before you sign. Honest verdicts, no sales spin.",The cheapest reader isn't always cheapest once fees start nibbling. See the real cost.,"Who to pick and who to avoid, by business type and turnover. Get matched free.",salons,pos,https://thepos.co.uk/pos-systems/salons,Enabled
ThePOS | By Business Type,,,,Salon & Barber,,,,Responsive search ad,Card Machine for Salons,Best POS for Barbers,Salon Card Machines,"Card at the Chair, Sorted",Compare Salon POS,Compare Fees in 60 Seconds,Get Matched Free,Free Fee Calculator,No Monthly Fee Options,Find Your Best-Fit Provider,Take the 60-Second Quiz,See What You'd Actually Pay,"Compare, Then Decide",Start Taking Cards Fast,,Work out what you'd actually pay with our free fee calculator. No monthly fee options too.,"Answer a few questions and get matched to your best-fit provider. Free, no sales calls.","Compare SumUp, Square, Dojo and myPOS in 60 seconds. Fees, contracts and payouts.",Start taking card payments fast. Compare UK providers and pick with confidence.,salons,pos,https://thepos.co.uk/pos-systems/salons,Enabled
